ex ey ez px py pz
-41.332502223435576 47.54776049372674 -53.02507587286201 -22.29473037191665 24.048199229372557 -25.59940225144833
-42.39710359588217 49.03120192574651 -53.261376784570984 -22.708015993996707 24.908298941232424 -25.300364661435847
-43.04787915327691 50.81536130101719 -52.89342945829611 -22.711249370208527 25.90781722697817 -25.26949814659925
-42.98681487424277 52.1742820595002 -53.70802709153111 -22.70524993671692 26.192614713137793 -26.228067079266555
-42.732895768582964 53.00495601174373 -55.5051219558299 -22.765332353144792 26.578479319117363 -27.14866395580287
-42.245961667105455 53.931681397937155 -57.17733087628105 -22.501728316406297 26.942526419073225 -28.041962685696124
-41.31519557625161 55.22445422415056 -57.779515802948445 -21.87579715912356 27.722396592123555 -28.045526325569256
-41.036310456626495 56.48345297261227 -58.45891170601745 -22.2690031137142 28.112185877809086 -28.878264813955152
-41.2901144517368 57.26133872459059 -60.26339607560645 -22.44518431378654 28.38458647923735 -29.824181352071804
-42.288252032300136 57.582843098224714 -61.110026468196985 -23.394272386834423 28.4727887452455 -29.52177072086105
-43.353520394393406 58.00901015764974 -61.908387935286044 -23.6211586473869 28.856597722403478 -30.416875906761263
-43.39810344057105 58.8263582806916 -63.72835395618306 -23.772174686939284 29.14496666496096 -31.362411473922112
-43.40234418679407 59.59161070446858 -65.5750242672074 -23.971534264986435 29.471150558616387 -32.2864568332853
-43.52290826737327 60.26781420912398 -67.44804348571388 -24.253380914423023 29.680131036488156 -33.22288068286937
-44.02008876256664 60.246515710727415 -67.54082109361427 -24.475522608874485 29.499303793408693 -32.264781222611454
-45.28580191356911 60.44309156551853 -66.55292238567152 -25.23298085379394 30.09807807965334 -32.00453833349486
-46.568693890658224 61.12935818574233 -67.31431599340357 -25.833258680636312 30.26268774654463 -32.78720696591048
-47.90007246512353 61.73876096872044 -68.20199400851813 -26.672295690310865 30.782843482218134 -32.62766102568528
-48.56302479533857 61.71070664970935 -69.06439203014433 -26.68569156872714 30.239103164527215 -33.466807626321206
-49.03388056452502 61.59939231971737 -70.53702386761977 -27.494102098462122 30.60343711211196 -33.92912049662759
-49.236528266766626 62.687607828673976 -71.5611033927087 -27.028537854105686 31.250635421890536 -34.532763008547164
-48.62504942774452 63.91629413476141 -72.84702724278871 -27.105710812354076 31.632451458277675 -35.45377378420226
-48.53920512244995 64.37171938632353 -72.72135383983922 -26.86866860726781 31.70235640461037 -34.48479272582905
-47.7857595626684 64.73218988222101 -72.23996790032764 -26.226372001901343 31.937589314965294 -35.21425865966055
-46.95088306736671 66.11008323030278 -72.79293412528526 -26.070524917230262 32.91076376608289 -35.38350160306291
-47.10680996149496 67.01295752298712 -73.79734081950089 -26.54689857719985 32.757336284841465 -36.2492545378469
-46.96897875390897 66.44102260909038 -75.5670857253693 -26.454672685584978 32.16494295474982 -37.04960728968747
-47.4105353350716 66.00366664467455 -76.95960752996004 -27.378541805805238 32.253299138854416 -37.421976774787844
-48.021340010252416 66.95167471183787 -77.17957394694591 -27.00169170806531 33.158881966939354 -37.227287932500744
-48.75408154243957 68.17267933872172 -76.59859361193378 -27.801522299592477 33.609894527554815 -36.83123402831044
-50.22265588618141 69.14151782330316 -75.86429434887495 -28.110832182440028 34.37890636822554 -36.271816308461446
-50.5670186008662 70.24990401601518 -76.20769619496284 -28.110376279713627 34.715365124303 -37.21351440106412
-50.99303892872054 71.37552882881162 -76.67891067271908 -28.52673783921498 35.50206419971165 -36.75772100870221
-51.97956886600514 72.85272365521743 -76.7510170292433 -28.917510479912966 36.297857025439825 -37.2203337212399
-52.126836827756804 74.62613810591768 -77.09914799679991 -28.573390558653237 37.23431759030564 -37.288327031523956
